minutes,gross,budget,year,rating,score
106,23272306.00,6000000.00,1995,8.5,8.6
100,19900000.00,20000000.00,1995,4.6,4.5
106,24048000.00,30000000.00,1995,5.6,5.5
135,88246220.00,175000000.00,1995,6.2,6.1
88,4771000.00,800000.00,1995,7.4,7.5
92,15091542.00,25000000.00,1996,5.2,5.3
97,326308.00,5000000.00,1996,6.1,6.1
107,2961991.00,3300000.00,1996,6.9,6.9
81,63071133.00,12000000.00,1996,6.8,6.8
101,1075288.00,22000000.00,1996,6.0,6.1
110,4357000.00,30000000.00,1996,5.4,5.3
91,1040879.00,7000000.00,1996,7.0,7.1
109,3798532.00,4500000.00,1996,7.3,7.4
108,70450000.00,50000000.00,1996,6.0,6.0
96,60154431.00,47000000.00,1996,6.1,6.0
91,1652472.00,300000.00,1996,6.8,6.9
107,20550712.00,50000000.00,1996,5.7,5.6
111,20300000.00,40000000.00,1996,6.2,6.2
116,58918501.00,46000000.00,1996,6.6,6.6
101,24881000.00,15000000.00,1996,6.3,6.2
114,32885565.00,80000000.00,1996,5.9,5.8
103,51317350.00,57000000.00,1996,6.5,6.4
162,78651430.00,27000000.00,1996,7.4,7.4
115,101228120.00,100000000.00,1996,6.1,6.1
101,25407250.00,50000000.00,1996,5.7,5.7
101,9714482.00,20000000.00,1996,6.7,6.8
135,49994804.00,55000000.00,1996,6.3,6.3
133,68750000.00,55000000.00,1996,6.4,6.4
118,17305211.00,38000000.00,1996,6.2,6.1
101,53146000.00,20000000.00,1996,6.2,6.1
91,2104000.00,13000000.00,1996,5.9,5.9
116,18573791.00,55000000.00,1996,5.9,5.8
103,105444419.00,26000000.00,1996,6.4,6.2
98,17100000.00,25000000.00,1996,5.4,5.3
95,20047715.00,25530000.00,1996,5.2,5.2
92,14891000.00,7000000.00,1996,6.7,6.8
108,25753840.00,19000000.00,1996,7.2,7.3
99,1227324.00,12500000.00,1996,6.6,6.6
120,5731103.00,2400000.00,1996,6.7,6.8
110,38553833.00,55000000.00,1996,6.8,6.8
130,13052741.00,36000000.00,1996,6.7,6.7
108,4903000.00,12000000.00,1996,5.1,5.0
91,20400913.00,45000000.00,1996,5.4,5.3
242,4414535.00,18000000.00,1996,7.7,7.8
92,38624000.00,12000000.00,1996,7.0,7.0
100,26539321.00,13000000.00,1996,5.9,5.9
91,100117603.00,100000000.00,1996,6.9,6.9
145,306124059.00,75000000.00,1996,7.0,6.9
96,27663982.00,40000000.00,1996,4.5,4.4
139,153620822.00,50000000.00,1996,7.3,7.3
89,60573641.00,60000000.00,1996,5.6,5.4
118,44834712.00,44000000.00,1996,5.7,5.6
117,4109095.00,3000000.00,1996,6.0,6.0
116,1292527.00,19000000.00,1996,6.4,6.3
114,24944213.00,27000000.00,1996,6.9,6.9
135,13269963.00,5000000.00,1996,7.4,7.6
121,33328051.00,65000000.00,1996,6.8,6.7
76,212285.00,250000.00,1996,6.3,6.4
106,37754208.00,70000000.00,1996,6.3,6.3
98,12782508.00,23000000.00,1996,6.7,6.7
108,5600000.00,47000000.00,1996,5.8,5.8
101,14095303.00,25000000.00,1996,5.5,5.4
133,11030963.00,28000000.00,1996,7.2,7.1
126,41252428.00,42000000.00,1996,6.6,6.5
110,180965237.00,80000000.00,1996,7.1,7.1
105,10070000.00,25000000.00,1996,6.2,6.2
117,20101861.00,45000000.00,1996,6.1,6.0
101,22294341.00,21500000.00,1996,6.5,6.5
95,128769345.00,54000000.00,1996,5.6,5.6
100,17300889.00,45000000.00,1996,4.9,4.9
123,104632573.00,32000000.00,1996,6.4,6.4
121,136448821.00,80000000.00,1996,6.6,6.6
136,134006721.00,75000000.00,1996,7.4,7.4
120,46338728.00,14500000.00,1996,6.7,6.8
111,103001286.00,15000000.00,1996,7.2,7.2
123,36049108.00,9000000.00,1996,6.9,6.8
93,30400000.00,39000000.00,1996,5.8,5.7
96,9449219.00,3500000.00,1996,6.0,6.1
105,35811509.00,5500000.00,1996,7.7,7.7
147,53300852.00,44000000.00,1996,7.6,7.5
135,24475416.00,890000.00,1996,8.0,8.0
88,90443603.00,80000000.00,1996,6.4,6.3
81,26906039.00,18000000.00,1996,5.4,5.3
111,92001027.00,45000000.00,1996,7.6,7.6
115,32800000.00,40000000.00,1996,4.5,4.3
96,4505922.00,200000.00,1996,7.2,7.4
108,25809813.00,26000000.00,1996,6.9,6.9
108,34746109.00,8000000.00,1996,5.7,5.6
93,15171475.00,8500000.00,1996,5.8,5.7
149,108706165.00,40000000.00,1996,7.5,7.4
135,53854588.00,45000000.00,1996,6.3,6.3
93,16501785.00,3500000.00,1996,8.1,8.2
95,695229.00,1300000.00,1996,7.1,7.2
113,241688385.00,92000000.00,1996,6.4,6.3
124,51045801.00,60000000.00,1996,6.2,6.1
84,2892582.00,4000000.00,1996,7.5,7.6
86,1277257.00,1000000.00,1996,6.7,6.8
129,10300000.00,38000000.00,1996,6.6,6.6
96,15062898.00,14000000.00,1998,6.1,6.0
95,3559990.00,3000000.00,1997,5.4,5.3
121,50007168.00,50000000.00,1997,6.7,6.7
98,24629916.00,3000000.00,1997,5.2,5.1
124,172620724.00,85000000.00,1997,6.5,6.4
86,15447.00,10000000.00,1997,3.5,3.5
109,47748610.00,75000000.00,1997,6.2,6.3
104,4273372.00,22000000.00,2001,2.2,2.1
155,44175394.00,36000000.00,1997,7.3,7.2
89,65557989.00,45000000.00,1997,4.8,4.6
94,58297830.00,50000000.00,1997,7.1,7.1
134,20733485.00,5000000.00,1997,7.2,7.2
94,53868030.00,17000000.00,1997,7.0,7.0
97,27141959.00,18000000.00,1999,2.6,2.5
125,107285004.00,125000000.00,1997,3.7,3.7
117,17439163.00,15000000.00,1998,8.1,8.2
91,124494.00,2000000.00,1998,6.7,6.7
155,26384919.00,15000000.00,1997,7.9,7.9
89,22359293.00,29000000.00,1997,5.8,5.8
93,50129186.00,36000000.00,1997,6.9,6.9
110,2365931.00,1500000.00,1998,7.5,7.5
108,26525834.00,30000000.00,1998,6.8,6.8
75,3562749.00,32000000.00,1997,6.9,6.9
95,306715.00,10000000.00,1998,2.3,2.3
113,12006514.00,250000.00,1997,7.2,7.3
89,925402.00,180000.00,1997,8.3,8.5
104,1789892.00,8000000.00,1998,6.6,6.6
115,101087161.00,75000000.00,1997,6.9,6.8
135,76081498.00,75000000.00,1997,6.7,6.7
150,100853835.00,90000000.00,1997,7.4,7.4
105,44886089.00,10000000.00,1997,6.9,6.9
107,141853.00,12000000.00,1997,5.9,6.0
108,67155742.00,116000000.00,1997,5.9,5.8
100,14337579.00,27000000.00,1998,7.6,7.7
96,10569071.00,20000000.00,1997,7.4,7.4
106,11146409.00,45000000.00,1998,6.1,6.0
144,60984028.00,57000000.00,1997,7.5,7.5
111,42877165.00,86000000.00,1997,6.2,6.1
85,144156464.00,71500000.00,1998,5.4,5.3
127,41954997.00,35000000.00,1997,7.7,7.8
97,464655.00,1000000.00,1997,7.1,7.0
109,14821531.00,6000000.00,1997,7.3,7.3
96,26616590.00,60000000.00,1997,6.7,6.7
138,112225777.00,80000000.00,1997,7.3,7.3
126,63540020.00,93000000.00,1997,7.7,7.7
93,92969824.00,80000000.00,1997,5.3,5.2
91,45857453.00,3500000.00,1997,7.2,7.2
125,48154732.00,50000000.00,1997,5.9,5.8
129,48265581.00,50000000.00,1997,7.8,7.8
106,12339633.00,36000000.00,1997,7.8,7.8
92,105263257.00,55000000.00,1997,5.4,5.4
118,6482195.00,37000000.00,1997,6.4,6.4
126,138339411.00,10000000.00,1997,8.3,8.3
107,28014536.00,15000000.00,1997,7.3,7.4
91,10443316.00,15000000.00,1998,5.1,5.0
114,60033780.00,30000000.00,1998,6.0,5.9
169,75370763.00,60000000.00,1998,6.6,6.5
86,334041.00,500000.00,1997,6.4,6.5
101,72219395.00,17000000.00,1997,5.7,5.6
75,203134.00,250000.00,1997,7.0,7.0
112,7837632.00,18000000.00,1997,7.4,7.5
90,63826569.00,35000000.00,1997,6.4,6.3
97,2856622.00,25000.00,1997,7.2,7.3
124,54910560.00,60000000.00,1997,6.4,6.3
154,39647595.00,12000000.00,1997,7.5,7.5
122,713413.00,4500000.00,1997,7.7,7.8
115,60491560.00,27000000.00,1997,6.6,6.6
134,5532301.00,28000000.00,1997,7.0,7.0
138,64604977.00,35000000.00,1997,8.2,8.3
92,12836.00,4000000.00,1997,5.6,5.8
86,181395380.00,45000000.00,1997,6.9,6.8
129,229074524.00,73000000.00,1997,6.6,6.5
104,12514138.00,10000000.00,1997,7.5,7.4
115,10556196.00,50000000.00,1997,6.3,6.2
178,44606335.00,90000000.00,1998,7.2,7.1
98,250147615.00,90000000.00,1997,7.3,7.3
155,25078937.00,30000000.00,1997,6.6,6.6
97,41067398.00,25000000.00,1997,6.2,6.1
134,2298191.00,2400000000.00,1997,8.4,8.4
95,35927406.00,30000000.00,1997,3.7,3.7
105,126805112.00,46000000.00,1997,6.3,6.3
104,3386698.00,1000000.00,1998,6.6,6.7
98,44455658.00,25000000.00,1997,6.7,6.7
139,147637474.00,50000000.00,1997,7.7,7.7
132,1508689.00,16000000.00,1997,6.6,6.7
124,41256277.00,50000000.00,1997,5.9,5.9
104,23031390.00,4500000.00,1998,5.8,5.6
177,17593391.00,80000000.00,1997,6.1,6.0
117,777423.00,25000000.00,1998,7.2,7.2
106,532190.00,8000000.00,1997,6.8,6.8
143,38966057.00,65000000.00,1998,6.6,6.7
135,45856732.00,40000000.00,1997,7.2,7.1
110,33927476.00,40000000.00,1997,5.8,5.7
87,18967571.00,30000000.00,1998,6.2,6.1
104,231417.00,60000000.00,1997,6.5,6.6
116,61355436.00,68000000.00,1997,6.2,6.2
120,101334374.00,24000000.00,1997,6.2,6.1
127,35422828.00,20000000.00,1997,6.7,6.7
136,37901509.00,70000000.00,1997,7.1,7.0
103,2154540.00,45000000.00,1997,4.9,4.9
109,302204.00,3000000.00,1997,6.6,6.6
89,8119205.00,28000000.00,1997,5.4,5.4
99,11883495.00,9000000.00,1998,6.7,6.8
121,2221994.00,35000000.00,1997,6.4,6.4
99,14567883.00,75000000.00,1998,6.0,6.0
115,43490057.00,7500000.00,1997,7.0,6.9
110,10200000.00,10000000.00,1997,7.2,7.3
96,54967359.00,40000000.00,1997,5.3,5.2
121,48068396.00,160000000.00,1997,3.9,3.7
134,36976367.00,75000000.00,1998,6.1,6.0
93,29247405.00,25000000.00,1997,3.5,3.3
114,60652036.00,48000000.00,1999,7.1,7.1
129,54700065.00,105000000.00,1997,7.2,7.2
97,1686429.00,16000000.00,1997,2.8,2.8
112,4306697.00,5000000.00,1997,7.5,7.7
115,1687311.00,700000000.00,1998,7.1,7.2
89,6719300.00,2000000.00,1998,7.1,7.2
121,16311763.00,17000000.00,1998,7.5,7.5
194,658672302.00,200000000.00,1997,7.8,7.7
119,125332007.00,110000000.00,1997,6.5,6.5
92,245823397.00,90000000.00,1999,7.9,7.9
86,617172.00,375000.00,1997,6.9,7.0
103,125603360.00,60000000.00,1998,8.1,8.1
100,11466088.00,71000000.00,1997,4.9,4.7
113,9054736.00,2700000.00,1997,7.0,7.1
104,47474112.00,90000000.00,1997,5.5,5.4
101,6448817.00,35000000.00,1997,4.7,4.6
94,13801755.00,20000000.00,1997,6.7,6.6
90,161487252.00,20000000.00,1998,6.1,6.1
84,8026971.00,13000000.00,1998,4.0,3.8
113,5032496.00,12000000.00,1998,6.3,6.3
93,16574731.00,13000000.00,1998,5.9,5.8
119,6712241.00,7500000.00,1998,8.5,8.6
83,90646554.00,105000000.00,1998,6.5,6.6
151,201573391.00,140000000.00,1998,6.7,6.6
97,18318000.00,80000000.00,1998,5.7,5.8
76,11144518.00,15000000.00,1998,3.1,2.8
113,22858926.00,13000000.00,1999,7.7,7.8
172,22843047.00,55000000.00,1998,6.0,5.9
91,27052167.00,13000000.00,1998,6.1,6.1
120,70001065.00,45000000.00,1998,7.1,7.1
107,4741987.00,14000000.00,1999,6.6,6.6
110,175370.00,12000000.00,1999,4.6,4.6
100,10114315.00,25000000.00,1999,6.5,6.4
95,162792677.00,120000000.00,1998,7.2,7.2
84,106793915.00,45000000.00,2000,7.0,7.0
121,65703412.00,26000000.00,1998,7.0,7.0
114,78745923.00,55000000.00,1998,6.7,6.7
115,56702901.00,60000000.00,1998,6.6,6.5
93,4308981.00,24000000.00,1998,4.1,3.9
106,13376506.00,40000000.00,1999,6.4,6.3
120,140459099.00,75000000.00,1998,6.2,6.1
82,9975684.00,13000000.00,1998,6.4,6.4
130,30651422.00,10000000.00,1999,7.3,7.4
102,32694788.00,85000000.00,1999,6.6,6.6
132,111544445.00,90000000.00,1998,7.3,7.3
109,16459004.00,15000000.00,1999,5.1,4.9
159,55637680.00,65000000.00,1999,7.4,7.3
118,10562387.00,18500000.00,1998,7.6,7.7
123,25776062.00,12000000.00,2002,7.4,7.4
122,31598308.00,35000000.00,2001,6.8,6.8
105,6390032.00,3500000.00,1998,7.4,7.5
125,91030827.00,50000000.00,1998,6.8,6.7
189,136801374.00,60000000.00,1999,8.6,8.5
82,17278980.00,8000000.00,1998,6.7,6.7
97,19819494.00,70000000.00,1998,5.9,5.8
114,12065985.00,60000000.00,1998,4.9,4.9
124,37672350.00,20000000.00,1998,5.7,5.5
100,11900000.00,30000000.00,1999,5.5,5.5
120,4956401.00,15000000.00,1999,6.6,6.5
100,12902790.00,12000000.00,1998,6.5,6.6
91,10076136.00,35000000.00,1998,4.9,4.8
107,3650677.00,960000.00,1998,8.2,8.2
178,313837577.00,93000000.00,2001,8.8,8.8
130,69102910.00,80000000.00,1998,5.2,5.1
132,56876365.00,35000000.00,1998,6.5,6.4
136,93771072.00,65000000.00,1998,6.7,6.7
111,32940507.00,60000000.00,1998,6.1,6.1
111,32940507.00,60000000.00,1998,6.1,6.1
114,50628009.00,90000000.00,1998,5.6,5.6
123,215397307.00,125000000.00,2000,6.1,6.1
88,120618403.00,90000000.00,1998,7.6,7.5
94,36830057.00,65000000.00,1999,5.0,4.9
140,44484065.00,50000000.00,1998,7.3,7.3
122,10297897.00,27000000.00,1998,6.1,6.0
82,30324946.00,17000000.00,1998,6.3,6.2
111,29106737.00,15000000.00,1998,6.0,6.0
121,229311.00,11350000.00,1999,6.1,6.2
127,23209440.00,30000000.00,1998,7.0,7.0
123,37339525.00,48000000.00,1998,7.0,7.0
100,81517441.00,50000000.00,1999,7.1,7.1
104,46611204.00,48000000.00,1998,6.3,6.1
99,101217900.00,70000000.00,1998,7.1,7.0
124,8406264.00,38000000.00,1999,6.0,6.0
86,22717758.00,40000000.00,1998,6.3,6.2
130,9473382.00,10000000.00,1998,7.6,7.7
100,39532308.00,33000000.00,2002,6.7,6.7
88,21210.00,1000000.00,1998,5.9,6.1
169,216119491.00,70000000.00,1998,8.6,8.6
111,11405825.00,35000000.00,2001,6.7,6.8
98,74329966.00,70000000.00,1998,5.8,5.7
91,5480318.00,5000000.00,1998,6.6,6.6
98,55585389.00,69000000.00,1998,6.0,5.9
127,14378353.00,36000000.00,1999,6.7,6.8
103,70117571.00,58000000.00,1998,6.4,6.4
117,14348123.00,12000000.00,1999,6.9,6.9
170,36385763.00,52000000.00,1998,7.6,7.6
108,20241395.00,20000000.00,1998,6.2,6.1
118,146072.00,140000000.00,1998,6.1,6.0
97,43022524.00,15000000.00,1997,7.2,7.1
113,55350897.00,85000000.00,1998,7.0,7.0
108,29753944.00,20000000.00,1998,6.5,6.5
106,113745408.00,170000000.00,1999,4.9,4.8
121,83892374.00,66000000.00,1998,7.0,7.0
104,157299717.00,75000000.00,2000,7.4,7.4
116,1980338.00,5000000.00,1998,6.9,7.0
97,2840417.00,31000000.00,1999,6.8,6.8
75,60507228.00,80000000.00,1999,7.2,7.3
88,190418803.00,140000000.00,2002,6.2,6.1
94,22751979.00,75000000.00,2000,6.6,6.6
136,474544677.00,115000000.00,1999,6.5,6.5
78,89296573.00,100000000.00,2000,7.3,7.3
77,53337608.00,40000000.00,2005,7.3,7.4
142,310675583.00,115000000.00,2002,6.6,6.7
140,380262555.00,113000000.00,2005,7.5,7.6
127,129734803.00,140000000.00,1998,6.6,6.6
115,32662299.00,24000000.00,2000,6.9,6.9
97,18535191.00,14000000.00,1999,6.8,6.9
122,41609593.00,55000000.00,1998,7.3,7.3
108,53955614.00,40000000.00,1998,6.2,6.1
94,64359.00,2500000.00,1998,6.0,5.9
103,106694016.00,30000000.00,1999,6.7,6.7
90,489220.00,365000.00,1997,7.2,7.3
111,94596.00,1000000.00,1997,7.4,7.4
84,1950218.00,1000000.00,1997,5.5,5.6
100,9801782.00,10000000.00,1998,6.4,6.3
112,26494611.00,35000000.00,1999,6.6,6.6
136,21554585.00,25000000.00,1998,6.9,6.9
94,582024.00,1000000.00,1997,6.1,6.2
114,18252684.00,30000000.00,1998,6.9,6.9
123,40334024.00,35000000.00,2001,6.2,6.2
124,116006080.00,42000000.00,1999,7.1,7.0
118,34580635.00,52000000.00,1999,7.4,7.4
96,7292175.00,7000000.00,1999,6.4,6.4
90,267652016.00,60000000.00,2001,7.8,7.9
90,99147.00,2000000.00,1998,6.2,6.2
106,399793.00,4000000.00,1999,5.4,5.4
103,14879556.00,8000000.00,1999,7.2,7.3
137,35168395.00,50000000.00,1999,6.6,6.5
92,2301777.00,650000.00,1997,6.4,6.5
81,18195.00,250000.00,1997,6.1,6.3
124,30012990.00,25000000.00,1998,7.4,7.5
100,25339117.00,10000000.00,1998,6.5,6.5
94,40542.00,300000.00,1997,5.2,5.5
126,34098563.00,55000000.00,1999,6.6,6.5
121,22905674.00,12000000.00,1998,7.3,7.4
93,17096053.00,9000000.00,1998,7.7,7.7
119,115731542.00,65000000.00,1998,6.6,6.5
86,23159305.00,70000000.00,1999,8.0,8.0
90,28535768.00,40000000.00,1999,5.5,5.3
115,135014968.00,50000000.00,1998,6.8,6.7
101,2060953.00,12000000.00,1999,7.0,7.1
119,176483808.00,23000000.00,1998,7.1,7.1
100,39989008.00,24000000.00,1998,4.7,4.6
102,33864342.00,40000000.00,1999,5.8,5.8
125,927107.00,15000000.00,1999,7.2,7.3
82,137748063.00,127500000.00,2000,6.5,6.5
81,7267324.00,3500000.00,1998,7.7,7.8
97,66365290.00,55000000.00,1999,6.4,6.4
122,22362500.00,55000000.00,1999,6.1,6.1
93,10305534.00,3500000.00,1998,4.1,3.9
100,11576087.00,30000000.00,1999,4.3,4.1
92,26000610.00,76000000.00,2000,4.1,4.1
116,32616869.00,72000000.00,2001,4.6,4.5
121,29655590.00,65000000.00,1999,6.1,6.0
128,22326247.00,60000000.00,1999,6.0,5.9
136,171383253.00,63000000.00,1999,8.7,8.7
107,10508.00,700000.00,1998,6.5,6.5
119,180011740.00,100000000.00,2001,5.7,5.7
119,180011740.00,100000000.00,2001,5.7,5.7
95,38120554.00,140000000.00,2002,7.2,7.1
104,40064955.00,15000000.00,1998,6.5,6.4
116,40932372.00,70000000.00,1998,6.4,6.3
79,100491683.00,24000000.00,1998,5.9,5.9
116,89138076.00,40000000.00,2000,5.5,5.5
139,81292135.00,40000000.00,1999,7.4,7.3
138,630779.00,35000000.00,1999,6.7,6.8
123,36283504.00,40000000.00,1999,6.5,6.5
119,8888143.00,28000000.00,1999,6.7,6.7
84,17411331.00,15000000.00,1998,5.6,5.5
112,4734235.00,15000000.00,2000,6.1,6.0
109,39235088.00,23000000.00,2000,7.1,7.1
90,14218868.00,65000000.00,2000,4.9,4.8
101,6851636.00,6000000.00,1999,6.0,5.9
117,24362501.00,21500000.00,1999,7.2,7.2
113,87704396.00,66000000.00,1999,6.3,6.2
139,37023395.00,63000000.00,1999,8.8,8.8
123,100241322.00,25000000.00,1998,7.1,7.2
109,10654581.00,34000000.00,1999,5.4,5.3
109,10654581.00,34000000.00,1999,5.4,5.3
92,4002955.00,20000000.00,1999,6.2,6.2
100,35096190.00,60000000.00,2003,6.2,6.3
84,3216970.00,60000.00,1998,7.4,7.5
89,50802661.00,95000000.00,2000,6.9,6.9
115,882710.00,24000000.00,2000,6.4,6.4
87,536767.00,60000.00,1998,5.4,5.3
97,38201895.00,10500000.00,1999,6.8,6.9
102,16842303.00,6500000.00,1999,7.2,7.3
82,31768374.00,27000000.00,1999,5.7,5.6
126,52799004.00,55000000.00,1999,6.2,6.1
100,982214.00,1000000.00,1998,7.1,7.2
122,76261036.00,45000000.00,2001,7.7,7.7
106,52885587.00,16000000.00,1999,6.5,6.4
100,15500000.00,16000000.00,1999,7.1,7.0
157,28965197.00,68000000.00,1999,7.8,7.9
112,4554569.00,28000000.00,1999,6.8,6.9
113,5595428.00,2900000.00,1998,7.9,8.0
78,97360069.00,75000000.00,1999,4.1,4.1
95,2954405.00,36000000.00,2000,5.4,5.3
104,6712451.00,90000000.00,2001,4.4,4.4
116,77086030.00,62000000.00,2000,6.6,6.6
110,15156200.00,30000000.00,1999,6.1,6.0
111,1954202.00,15000000.00,1999,6.2,6.3
93,163479795.00,34200000.00,1999,6.4,6.4
133,18653746.00,38000000.00,1999,6.7,6.7
128,126930660.00,135000000.00,1999,6.4,6.4
102,15593.00,21000000.00,1999,5.8,5.8
101,15047419.00,7000000.00,2000,7.6,7.6
89,32368960.00,25000000.00,1998,5.4,5.3
94,6241697.00,13000000.00,1999,6.1,6.1
92,7680.00,2000000.00,1999,6.5,6.4
116,102678089.00,95000000.00,1999,6.3,6.3
106,123307945.00,65000000.00,2000,4.4,4.3
98,10544143.00,20000000.00,1999,6.0,6.1
104,17757087.00,21000000.00,1999,4.7,4.6
87,12801190.00,15000000.00,2000,4.6,4.6
121,403706375.00,139000000.00,2002,7.3,7.3
103,50041732.00,29000000.00,1999,6.2,6.2
145,13038660.00,25000000.00,1999,7.3,7.3
95,205399422.00,33000000.00,1999,6.6,6.6
118,66488090.00,48000000.00,1999,6.7,6.7
96,4394936.00,6000000.00,1999,5.3,5.3
145,34566746.00,80000000.00,2000,7.3,7.3
100,131144183.00,115000000.00,2001,5.8,5.7
99,38048637.00,14000000.00,1998,5.6,5.5
122,66862068.00,83000000.00,1999,5.8,5.7
162,75530832.00,55000000.00,1999,6.9,6.8
113,27277055.00,20000000.00,2000,7.5,7.6
126,30695227.00,60000000.00,2000,6.7,6.7
134,3000000.00,3000000.00,1998,7.7,7.8
97,38176108.00,16000000.00,1999,7.3,7.2
105,73648142.00,60000000.00,1999,5.8,5.8
116,15527125.00,57000000.00,2000,5.8,5.8
114,18653615.00,23000000.00,1999,6.2,6.1
90,13493.00,600000.00,1998,6.6,6.6
132,2899970.00,32000000.00,1999,6.8,6.9
105,116735231.00,70000000.00,1999,6.5,6.4
158,14131298.00,390000000.00,1999,6.4,6.4
154,6201757.00,10000000.00,1999,7.3,7.4
89,10824921.00,10000000.00,1999,7.7,7.8
105,1647780.00,1300000.00,1998,8.0,8.1
113,69304264.00,48000000.00,1999,6.8,6.8
112,4485485.00,15000000.00,1999,6.5,6.4
87,3071947.00,3500000.00,1999,5.6,5.4
81,6982680.00,10000000.00,2000,5.8,5.7
86,185577.00,4000000.00,1999,6.2,6.3
95,34099640.00,5000000.00,2000,7.0,7.0
108,14983572.00,25000000.00,2000,4.6,4.7
133,31054924.00,64000000.00,1999,5.2,5.1
94,36985501.00,26000000.00,2002,5.2,5.2
97,10561238.00,10000000.00,1999,6.6,6.5
104,144583.00,800000.00,1999,6.4,6.5
90,35231365.00,60000000.00,2000,3.6,3.6
87,16290976.00,24000000.00,1999,6.3,6.2
81,52008288.00,21000000.00,1999,7.7,7.8
97,4859475.00,6000000.00,1999,7.2,7.2
106,59068786.00,40000000.00,2001,6.4,6.4
154,95632614.00,79000000.00,2003,7.2,7.2
73,11634458.00,17000000.00,1999,5.8,5.8
117,30199105.00,40000000.00,2000,5.7,5.7
98,125305545.00,92000000.00,2000,5.5,5.5
100,2148212.00,7000000.00,1999,6.4,6.3
77,9694105.00,22000000.00,1999,3.9,3.8
95,6114237.00,40000000.00,2001,6.2,6.2
95,14003141.00,7000000.00,1999,6.3,6.1
97,16779636.00,28000000.00,2000,4.8,4.8
100,428535.00,1000000.00,2000,5.4,3.6
95,63319509.00,10000000.00,1999,5.9,5.8
95,27067160.00,50000000.00,1999,6.0,5.9
102,1281176.00,312000.00,1999,6.6,6.7
130,155370362.00,100000000.00,2000,6.6,6.6
94,32095318.00,45000000.00,2001,5.5,5.5
106,25047631.00,6000000.00,1999,7.0,6.9
141,6173485.00,7000000.00,2001,7.5,7.7
143,233630478.00,90000000.00,2000,7.8,7.7
97,39852.00,3000000.00,1999,6.6,6.7
111,6200756.00,7000000.00,2001,7.3,7.4
90,277233.00,40000.00,1999,7.7,7.6
98,1943649.00,1700000.00,1999,6.3,6.3
99,70327868.00,46000000.00,2000,5.9,5.9
142,19283782.00,22000000.00,1999,6.7,6.6
111,985341.00,500000.00,1999,7.2,7.3
94,36037909.00,60000000.00,2000,4.9,4.7
92,181166115.00,93000000.00,2001,5.9,5.9
116,152149590.00,70000000.00,1999,5.5,5.5
102,11227940.00,34000000.00,1999,5.2,5.2
95,101736215.00,11000000.00,1999,7.0,7.0
105,5217498.00,15000000.00,2000,4.7,4.6
119,39778599.00,50000000.00,2000,6.7,6.6
107,29374178.00,40000000.00,2000,5.1,5.1
121,16640210.00,55000000.00,1999,6.8,6.8
116,325491.00,17500000.00,2002,6.0,6.0
112,73209340.00,95000000.00,2000,5.8,5.7
126,1997807.00,8000000.00,1999,6.9,7.1
97,11614236.00,15000000.00,1999,5.7,5.6
91,17843379.00,8000000.00,1999,5.8,5.7
99,21133087.00,12000000.00,1999,7.0,7.0
124,118471320.00,68000000.00,2002,6.4,6.4
104,74058698.00,60000000.00,2001,6.4,6.3
84,140015224.00,133000000.00,1999,5.9,5.9
95,4193025.00,15000000.00,1999,6.9,6.8
89,4692814.00,8000000.00,1999,5.2,5.1
89,3193102.00,9000000.00,1999,7.0,7.1
115,55973336.00,25000000.00,2000,6.1,6.1
86,26288320.00,60000000.00,2003,6.7,6.7
96,4170647.00,1900000.00,1999,6.9,6.9
84,6026908.00,2000000.00,1999,5.0,4.3
93,5409517.00,75000000.00,2001,4.7,4.7
91,24788807.00,3000000.00,1998,7.3,7.4
148,39251128.00,75000000.00,1999,6.7,6.7
83,73215310.00,80000000.00,2002,7.1,7.0
112,6197866.00,10000000.00,1999,8.0,8.0
147,7219578.00,15000000.00,2001,7.9,8.0
122,59035104.00,66000000.00,2004,6.8,6.8
114,6543194.00,34000000.00,2000,5.6,5.6
201,377019252.00,94000000.00,2003,8.9,8.9
179,340478898.00,94000000.00,2002,8.7,8.7
107,293501675.00,40000000.00,1999,8.1,8.1
81,30628981.00,14000000.00,1999,5.1,5.0
95,6768055.00,57000000.00,2004,4.2,4.2
113,64148.00,6500000.00,2000,7.1,7.3
120,34074895.00,9000000.00,1999,6.8,6.7
140,4157491.00,12800000.00,2000,8.0,8.0
120,21078145.00,12500000.00,2002,7.3,7.3
122,130058047.00,15000000.00,1999,8.3,8.4
104,260031035.00,123000000.00,2000,6.1,6.0
101,1631839.00,10000000.00,2000,5.7,5.7
113,91188905.00,80000000.00,1999,5.0,4.9
128,37036404.00,30000000.00,2000,6.3,6.4
110,25167270.00,24000000.00,2000,6.1,6.3
118,11533945.00,2000000.00,1999,7.5,7.6
147,138396624.00,130000000.00,2003,6.6,6.6
102,10660147.00,23000000.00,1999,7.1,7.2
127,28871190.00,24000000.00,1999,7.3,7.3
155,187670866.00,103000000.00,2000,8.5,8.5
99,5871603.00,13000000.00,1999,6.0,6.0
92,177840.00,250000.00,1999,6.0,6.1
87,1276984.00,10000000.00,2000,6.2,6.2
106,32131830.00,137000000.00,2001,6.4,6.4
82,4142507.00,3000000.00,2000,4.5,4.4
103,37752931.00,40000000.00,2000,5.7,5.5
146,50668906.00,38000000.00,1999,7.6,7.6
188,22450975.00,37000000.00,1999,8.0,8.0
105,886410.00,3500000.00,1998,6.7,6.8
