minutes,gross,budget,year,rating,score
98,8500000.00,20000000.00,1981,5.4,5.4
114,69700000.00,35000000.00,1982,5.9,5.8
117,27000000.00,28000000.00,1982,8.1,8.2
110,14100000.00,5000000.00,1982,7.1,7.2
115,434949459.00,10500000.00,1982,7.8,7.9
136,46700000.00,21000000.00,1982,5.9,5.9
95,36200000.00,4000000.00,1982,5.7,5.7
99,5333658.00,20000000.00,1982,3.8,3.5
114,76600000.00,10700000.00,1982,7.3,7.4
114,76600000.00,10700000.00,1982,7.3,7.4
94,105500000.00,4000000.00,1981,6.2,6.2
113,78900000.00,11000000.00,1982,7.7,7.7
109,13782838.00,15000000.00,1982,8.1,8.2
116,177200000.00,22000000.00,1982,7.4,7.4
129,54000000.00,16000000.00,1982,7.7,7.8
95,94900000.00,4000000.00,1983,6.2,6.1
98,14400000.00,2500000.00,1982,4.9,4.6
107,12200000.00,5000000.00,1983,6.4,6.3
98,61400000.00,15000000.00,1983,7.4,7.4
134,55500000.00,36000000.00,1983,6.2,6.2
131,67900000.00,27500000.00,1983,6.6,6.6
91,25600000.00,10000000.00,1983,7.1,7.2
131,309125409.00,32500000.00,1983,8.3,8.4
193,21500000.00,27000000.00,1983,7.8,7.9
170,44700000.00,25000000.00,1983,8.3,8.3
125,60000000.00,39000000.00,1983,5.0,4.9
101,29500000.00,10000000.00,1983,6.5,6.5
114,79568000.00,12000000.00,1983,7.1,7.1
133,30400000.00,12000000.00,1983,6.5,6.6
160,51600000.00,18000000.00,1984,8.3,8.3
105,234760500.00,14000000.00,1984,7.3,7.3
132,8600000.00,25000000.00,1984,7.0,7.0
103,26400000.00,18000000.00,1984,5.9,5.8
127,25900000.00,58000000.00,1984,6.5,6.5
137,27400000.00,40000000.00,1984,6.5,6.6
114,15100000.00,15000000.00,1984,6.1,6.0
107,80000000.00,8200000.00,1984,6.6,6.5
91,32600000.00,1800000.00,1984,6.0,5.9
106,148170000.00,11000000.00,1984,7.3,7.2
109,5100000.00,7500000.00,1984,6.0,6.0
118,179870271.00,28000000.00,1984,7.6,7.6
126,90800000.00,8000000.00,1984,7.2,7.2
126,90800000.00,8000000.00,1984,7.2,7.2
91,26505000.00,1800000.00,1984,7.5,7.5
91,26505000.00,1800000.00,1984,7.5,7.5
229,5300000.00,30000000.00,1984,8.4,8.4
164,26400000.00,16000000.00,1984,7.3,7.4
96,81200000.00,4500000.00,1984,6.7,6.7
111,69800000.00,8000000.00,1984,6.2,6.2
105,76400000.00,17000000.00,1984,6.7,6.6
107,38400000.00,6500000.00,1984,8.0,8.1
116,210609762.00,19000000.00,1985,8.5,8.5
132,9929000.00,15000000.00,1985,7.9,8.0
154,94175854.00,15000000.00,1985,7.8,7.8
92,21300000.00,2200000.00,1985,4.8,4.7
109,33000000.00,10000000.00,1985,6.9,6.9
107,36200000.00,12305523.00,1985,6.3,6.2
87,30000000.00,2200000.00,1985,5.5,5.4
161,87100000.00,31000000.00,1985,7.2,7.2
115,41400000.00,6900000.00,1985,7.3,7.3
96,150415432.00,44000000.00,1985,6.5,6.4
133,33200000.00,26000000.00,1985,7.2,7.2
131,50300000.00,30000000.00,1985,6.4,6.3
98,7369373.00,2000000.00,1986,5.7,5.7
112,65500000.00,12000000.00,1985,7.4,7.4
109,4250320.00,18000000.00,1985,6.8,6.8
97,174635000.00,8800000.00,1986,6.6,6.5
137,85200000.00,18500000.00,1986,8.4,8.4
89,12947763.00,5000000.00,1986,6.2,6.2
99,11100000.00,25000000.00,1986,7.3,7.3
98,1953732.00,15000000.00,1986,5.4,5.3
119,52293982.00,13800000.00,1986,7.0,7.0
86,19472057.00,3000000.00,1986,6.0,5.9
94,79817937.00,25000000.00,1986,6.0,5.9
116,5900000.00,16000000.00,1986,7.1,7.2
110,16295774.00,35000000.00,1986,4.7,4.6
100,4884663.00,12000000.00,1986,5.5,5.5
116,49851591.00,40000000.00,1986,6.0,5.9
94,38747385.00,25000000.00,1986,7.0,6.9
