Cuarto,Mes,Año,Valor
1,12,2008,69.20282052
2,12,2008,69.3882842
1,1,2009,69.4918952
2,1,2009,69.42040361
1,2,2009,69.5390382
2,2,2009,69.67994916
1,3,2009,69.89546003
2,3,2009,70.12444033
1,4,2009,70.22442494
2,4,2009,70.28555543
1,5,2009,70.04465987
2,5,2009,70.05657513
1,6,2009,70.15086114
2,6,2009,70.20784719
1,7,2009,70.34875814
2,7,2009,70.3917567
1,8,2009,70.46946495
2,8,2009,70.60830369
1,9,2009,70.88649921
2,9,2009,70.89893253
1,10,2009,71.14449059
2,10,2009,71.06989067
1,11,2009,71.44340832
2,11,2009,71.5092013
1,12,2009,71.6910386
2,12,2009,71.8521537
1,1,2010,72.38989477
2,1,2010,72.71419719
1,2,2010,72.84681926
2,2,2010,73.09652176
1,3,2010,73.43066722
2,3,2010,73.54878376
1,4,2010,73.32239373
2,4,2010,73.18873555
1,5,2010,72.79501376
2,5,2010,72.79242349
1,6,2010,72.76082213
2,6,2010,72.78154433
1,7,2010,72.88929977
2,7,2010,72.96959829
1,8,2010,73.0846065
2,8,2010,73.17837445
1,9,2010,73.47314773
2,9,2010,73.55707264
1,10,2010,73.9119403
2,10,2010,74.0259124
1,11,2010,74.53049795
2,11,2010,74.5931826
1,12,2010,74.73720189
2,12,2010,75.12470701
1,1,2011,75.255424
2,1,2011,75.33655869
1,2,2011,75.49131558
2,2,2011,75.6656049
1,3,2011,75.70241601
2,3,2011,75.7437346
1,4,2011,75.67537112
2,4,2011,75.76026203
1,5,2011,75.19231925
2,5,2011,75.12545826
1,6,2011,75.08413967
2,6,2011,75.22612537
1,7,2011,75.46351944
2,7,2011,75.56944528
1,8,2011,75.63405253
2,8,2011,75.63705752
1,9,2011,75.79707314
2,9,2011,75.84440171
1,10,2011,76.30942364
2,10,2011,76.35675221
1,11,2011,77.09447683
2,11,2011,77.22218883
1,12,2011,77.61283731
2,12,2011,77.97193341
1,1,2012,78.21984494
2,1,2012,78.46625398
1,2,2012,78.52034377
2,2,2012,78.48353266
1,3,2012,78.52109502
2,3,2012,78.57293107
1,4,2012,78.24538734
2,4,2012,78.35582066
1,5,2012,77.98169962
2,5,2012,78.12593906
1,6,2012,78.31450207
2,6,2012,78.5128313
1,7,2012,78.81858886
2,7,2012,78.88920608
1,8,2012,78.99663441
2,8,2012,79.18444618
1,9,2012,79.38202416
2,9,2012,79.49621371
1,10,2012,79.85380732
2,10,2012,79.82751367
1,11,2012,80.45705872
2,11,2012,80.30906304
1,12,2012,80.52917844
2,12,2012,80.60730813
1,1,2013,80.7312639
2,1,2013,81.05354889
1,2,2013,81.24661939
2,2,2013,81.33601779
1,3,2013,81.75972114
2,3,2013,82.01514514
1,4,2013,81.93851794
2,4,2013,81.94452792
1,5,2013,81.66130777
2,5,2013,81.67633271
1,6,2013,81.63801911
2,6,2013,81.59970551
1,7,2013,81.59970551
2,7,2013,81.58392932
1,8,2013,81.79653224
2,8,2013,81.85212453
1,9,2013,82.12858345
2,9,2013,82.13684717
1,10,2013,82.46664463
2,10,2013,82.57933169
1,11,2013,83.2817477
2,11,2013,83.30203137
1,12,2013,83.63783881
2,12,2013,83.90302903
1,1,2014,84.47022057
2,1,2014,84.56788269
1,2,2014,84.66854979
2,2,2014,84.79701304
1,3,2014,84.94350622
2,3,2014,84.9863273
1,4,2014,84.82856542
2,4,2014,84.78574434
1,5,2014,84.47322555
2,5,2014,84.59868382
1,6,2014,84.6670473
2,6,2014,84.69709718
1,7,2014,84.86462528
2,7,2014,84.96529239
1,8,2014,85.12605926
2,8,2014,85.31311978
1,9,2014,85.5895787
2,9,2014,85.60310115
1,10,2014,86.02905824
2,10,2014,86.11019292
1,11,2014,86.74499669
2,11,2014,86.7833103
1,12,2014,87.14315764
2,12,2014,87.23556103
1,1,2015,87.07254042
2,1,2015,87.14691388
1,2,2015,87.23856602
2,2,2015,87.31143699
1,3,2015,87.46844762
2,3,2015,87.79223511
1,4,2015,87.3963279
2,4,2015,87.41210409
1,5,2015,86.94858465
2,5,2015,86.98539576
1,6,2015,87.10033656
2,6,2015,87.12512771
1,7,2015,87.20701364
2,7,2015,87.27537713
1,8,2015,87.37604423
2,8,2015,87.47370635
1,9,2015,87.75392151
2,9,2015,87.75091652
1,10,2015,88.15658994
2,10,2015,88.25199832
1,11,2015,88.71176152
2,11,2015,88.65992548
1,12,2015,88.88830459
2,12,2015,89.2045796
1,1,2016,89.22861951
2,1,2016,89.54414328
1,2,2016,89.79956728
2,2,2016,89.7552437
1,3,2016,89.84163712
2,3,2016,89.97761284
1,4,2016,89.6673478
2,4,2016,89.58395937
1,5,2016,89.15048981
2,5,2016,89.29998798
1,6,2016,89.32027165
2,6,2016,89.32778412
1,7,2016,89.57569565
2,7,2016,89.53888455
1,8,2016,89.81985095
2,8,2016,89.79881603
1,9,2016,90.2818679
2,9,2016,90.43361981
1,10,2016,90.87986057
2,10,2016,90.93244786
1,11,2016,91.63411263
2,11,2016,91.59955526
1,12,2016,91.98043753
2,12,2016,92.09838332
1,1,2017,93.49194663
2,1,2017,93.71581826
1,2,2017,94.02833704
2,2,2017,94.26122363
1,3,2017,94.59177234
2,3,2017,94.85245508
1,4,2017,94.70971813
2,4,2017,94.96814712
1,5,2017,94.64736463
2,5,2017,94.80362402
1,6,2017,94.94711221
2,6,2017,94.97941583
1,7,2017,95.20328746
2,7,2017,95.44293527
1,8,2017,95.73742412
2,8,2017,95.84935994
1,9,2017,96.17615241
2,9,2017,96.01012681
1,10,2017,96.60436324
2,10,2017,96.79142376
1,11,2017,97.67714406
2,11,2017,97.71245267
1,12,2017,98.13765851
2,12,2017,98.40810746
1,1,2018,98.64249654
2,1,2018,98.94750285
1,2,2018,99.15033956
2,2,2018,99.19316065
1,3,2018,99.48539576
2,3,2018,99.49816696
1,4,2018,99.1540958
2,4,2018,99.15634954
1,5,2018,98.86787067
2,5,2018,99.12104093
1,6,2018,99.25401166
2,6,2018,99.4989182
1,7,2018,99.81894946
2,7,2018,100
1,8,2018,100.343
2,8,2018,100.641
1,9,2018,100.865
2,9,2018,100.97
1,10,2018,101.372
2,10,2018,101.509
1,11,2018,102.132
2,11,2018,102.473
1,12,2018,103.049
2,12,2018,102.992
1,1,2019,103.105
2,1,2019,103.112
1,2,2019,103.009
2,2,2019,103.15
